f_year,year,groups,seg_floodplain_area,seg_ndvi_5_7,f_group,seg_cropland_perc
2002,2002,"[740,750)",0.171487381,0.0034217,75,0.019953073
2002,2002,"[750,760)",0.142936264,0.004279534,76,0.029940152
2002,2002,"[760,770)",0.117134639,0.01215028,77,0.103729182
2002,2002,"[770,780)",0.002887527,0,78,0
2002,2002,"[780,790)",0.033660192,0,79,0
2002,2002,"[790,800)",0.198567639,0.063796769,80,0.321284826
2002,2002,"[800,810)",0.00366767,0.000156195,81,0.042586844
2002,2002,"[810,820)",0.136211024,0.010077145,82,0.073981862
2002,2002,"[820,830)",1.05298592,0.606496402,83,0.575977694
2002,2002,"[830,840)",0.152317276,0.046368641,84,0.304421417
2002,2002,"[840,850)",0.12503729,0.030005571,85,0.239972981
2002,2002,"[850,860)",0.050355671,0.002540741,86,0.05045591
2002,2002,"[860,870)",0.099667666,0.031974505,87,0.320811218
2002,2002,"[870,880)",0.467191674,0.072041241,88,0.154200609
2002,2002,"[880,890)",0.091614556,0.045908238,89,0.501102003
2002,2002,"[890,900)",0.626203477,0.343329484,90,0.548271444
2002,2002,"[900,910)",0.848979717,0.399805659,91,0.470924866
2002,2002,"[910,920)",0.20906254,0.08088958,92,0.386915703
2002,2002,"[920,930)",0.495774125,0.119912325,93,0.241868865
2002,2002,"[930,940)",0.454869431,0.154630967,94,0.339945832
2002,2002,"[940,950)",0.032551974,0.007659392,95,0.235297298
2002,2002,"[950,960)",0.179129581,0.017891624,96,0.099880899
2002,2002,"[960,970)",0.458867374,0.161363904,97,0.351656955
2002,2002,"[970,980)",0.305368731,0.054158558,98,0.177354629
2002,2002,"[980,990)",0.577572272,0.23307848,99,0.403548597
2002,2002,"[990,1000)",0.759664844,0.176832315,100,0.232776752
2002,2002,"[1000,1010)",0.039621879,0.010154024,101,0.256273142
2002,2002,"[1010,1020)",0.734557578,0.141994392,102,0.193306007
2002,2002,"[1020,1030)",0.336567353,0.148807521,103,0.442132963
2002,2002,"[1030,1040)",0.052933036,0.003269499,104,0.061766708
2002,2002,"[1040,1050)",0.209317027,0.035451068,105,0.16936543
2002,2002,"[1050,1060)",0.189926918,0.057664351,106,0.303613366
2002,2002,"[1060,1070)",0.658921133,0.362436008,107,0.550044595
2002,2002,"[1070,1080)",0.425301268,0.236363981,108,0.555756588
2002,2002,"[1080,1090)",0.076874744,0.065291522,109,0.849323433
2002,2002,"[1090,1100)",0.268492387,0.099794738,110,0.371685542
2002,2002,"[1100,1110)",0.021831852,0.000388453,111,0.017792934
2002,2002,"[1110,1120)",0.269901922,0.069040571,112,0.255798737
2002,2002,"[1120,1130)",0.176457371,0.106930296,113,0.605983729
2002,2002,"[1130,1140)",0.567988439,0.36896654,114,0.6496022
2002,2002,"[1140,1150)",0.202980846,0.110690974,115,0.545327187
2002,2002,"[1150,1160)",0.006986488,0.000931259,116,0.133294314
2002,2002,"[1160,1170)",0.700792105,0.213307576,117,0.304380678
2002,2002,"[1170,1180)",0.260750605,0.150969372,118,0.578979951
2002,2002,"[1180,1190)",0.038279447,0.011316209,119,0.29562102
2002,2002,"[1190,1200)",0.226245803,0.006356337,120,0.028094829
2002,2002,"[1200,1210)",0.04807232,0.000620127,121,0.012899877
